Kalimat,Label
kalau orang bilang celana cingkrang cadar itu kearaban dan kadrun itu yang bilang bukan pemerintah tapi kelompok orang terhadap kelompok lain kalau itu dianggap islamofobia maka ada juga  kristenfobia hindu fobia katolik fobia ada orang yang mengejek ritual hindu ada isu kristenisasi,0
sepertinya penyamaran seorang pelacur melecehkan islam tidak ada musti pake jilbab tapi pake lengan pendek ini jelas pelacur provokator,0
menolak lupa adzannya umat islam dilecehkan si anjing luar biasa kamu maling melecehkan umat islam kini kau curi uangnya umat islam anjing kau goblog tangkap maNahdlatul Ulama sia ajeeeng,1
kemarin dugem joget lincah sambil tank tidak miras yang dituang temannya kini bu sekdes tampil berkerudung sambil bilang salah saya apa salah sih mungkin tidak tapi tindakan anda memalukan melecehkan islamsampaibiadab semoga ortusampaiwarga tidak menyesal melahirkansampaibertetangga denganmu,0
jika sudah banyak siswa di sekolah dasar dan menengah memakai jilbab itu tanda tanda kiamat sudah dekat,0
ade armando offside blunder pemilih anies adalah seluruh umat beragama umat islam fix pemilih ganjar adalah kristen oligarki keturunan chinasampaibuzzer ahokers jokowers cebongers islamophobia politik identitas itu perlu pentingsampaihalal yang haram itu politik menipu identitas,1
matamu sakit ini juga banyak yang mulai dm menghujat kalau di kristen boleh pamer pepek masalahnya bukan disitu aturan tiap agama tu beda apalagi soal mengalirnya dosa anak ke bapak ibu jangan disamakan lah,1
oalah kalau nangis tidak ada aurat berarti loss gitu ya,1
babi Partai komunis Indonesia ini terus provokasi umat islam yang radikal dan teroris itu pendeta bajingan ini sepertinya bapakmu Partai komunis Indonesia ya,1
kadrun tolol tidak semua demo yang dukung mayoritas itu radikal Nahdlatul Ulama  dan muhammadiyah itu mayoritas tapi kecebong tidak pernah meNahdlatul Ulama duh radikal yang radikal itu yang pake ayat buat menang pilkada dengan mengintimidasi pemilih yang tidak sesuai kelompoknya,1
pantas kamu gagal nyaleg dan kalap bela wan abud ternyata kapasitas memory memang terbatas sampai bikin narasi berjuang untuk kepentingan mayoritas itu namanya intoleransi dan radikal jadi kamu pikir konsep ayat junjungan itu untuk kepentingan mayoritas yang teriak mungkin kamu,0
bangsat menghina agama orang kebebasan berekspresi kata nya kalau dibuNahdlatul Ulama h di bilang kebebasan berekspresi gimana,1
ngebom gereja bela kepentingan mayoritas ya,1
saya kontra dengan kadirun dan non muslim tetapi kalau dilegalkan saya bersedia bakar hidup hidup itu bule swedia pembakar ayat suci alquran,1
yang negeri ruwet indonesia yang katanya mayoritas muslim gimana apa pemimpinnya muslim abal-abal,1
maksudnya apa umat islam lakukan yang sama anda mau bakar kitab agama lain juga kah haha sama zalimnya anda dengan mereka sudahlah tidak usah pake narasi mayoritas minoritas sudah susah bos masyarakat sudah pintar tidak bisa dipecah pake narasi sampah seperti ini,1
intinya begini bung apapun tindakan kekerasan baik atas nama kebebasan berekspresi ham agama dan lain lain yang bertentangan dengan hukum tak ada urusan soal mayoritas minoritas wajib diperangi dan ditindak biar ada efek jera sekali tindakan melanggar hukum dibiarkan akan terulang terus,1
kafir pecundang dan pengecut,1
kalau kaku pake agama untuk menghancurkan negeri ini itu sama saja tidak beragama,1
makanya belajar banyak tentang undang-undang negara jangan idiot dan bolot hanya bisa bacot nyinyir aja kamu di negara kamu sendiri,1
apapun agamanya kalau ngajak orang benci dengki iri hati terus membully orang mengatai orang itu namanya pengabdi dajjal,0
"islam hanya didekati saat jelang pemilu untuk menarik simpati umatnya agar memberikan suaranya sebab muslim mayoritas jumlahnya lumayan, umatnya diincar alasan dikelola memang hasilnya jadi apa ongkos haji saja dinaikkan giliran syariat islam dituding radikal intoleran",1
apa lagi ini teroris ganti jubah basi,1
pakai jubah putih tapi kerjanya caci cacian merasa lebih benar bicaranya kasar apa iya sebagai umat kita begitu antar sesama diluar dia dikafir-kafirkan islam itu tidak extrim ini keterlaluan tidak bersyukur tinggal di indonesia sebebas bebas nya,1
framing media mereka teroris adakah mereka korupsi seperti para cina yang kabur ke luar negri adakah mereka merongrong kemerdekaan seperti Organisasi Papua Merdeka sadar kalian anak bangsa kita sedang dijajah oleh cina komunis,1
partai komunis indonesia Partai komunis Indonesia berubah menjadi partai kolaborasi indonesia Partai komunis Indonesia apakah terlarang tentu saja Front Pembela Islam pun mau ganti nama apapun tetap terlarang,0
kelompok yang paling siap tanpa digaji ikhlas untuk membantu korban bencana alam tanpa pandang suku ras dan agama malah dibilang teroris sama hewan najis ini bangkai,1
jauhi ulama yang dekat dengan penguasa dekati ulama yang dimusuhi oleh ulama,1
cebong memang jualan nya khilafah dan paling pancasilais,1
cara bidan itu sekarang dimainkan lagi oleh anak cucu Partai komunis Indonesia dibantu para liberal syariah narasi kebencian terhadap islam terus mereka gaungkan melalui hoax propaganda playing victim radikal intoleransi dan lain-lain,1
fasis agama di indonesia itu akar masalahnya ada di kyai kontol Nahdlatul Ulama n tahlilan diprotes kyai kontol Nahdlatul Ulama  sebut wahabi luhan aliran hakekok bab kesucian dan sebagainya muncul sebagai hasil budaya lokal diberangus oleh kyai kontol Nahdlatul Ulama yang wahabi itu siapa ok,1
agen tenaga kerja indonesi agen perbudakan di zaman sekarang pembantu budak santri budak sudah jelas kan siapa agen perbudakan terbesar di indonesia siapa lagi kalau bukan ormas nya Nahdlatul Ulama  nada pula tidak untuk memperjuangkan hak anak,1
saya bantu lengkapi mas teroris itu bukan dari agama non islam apalagi pelaku mewakili agama non islam itu tidak benar melainkan agama non islamlah yang jadi korban dari teror buktinya ini,1
kalau gitu kenapa jasad teroris disholatkan dibilang syahid sampai mujahidin kenapa teroris yang tertangkap dibela oleh tim pengacara muslim kenapa Majelis Ulama Indonesia sering sewot tiap kali densus 88 nindak teroris kenapa ulama bukan pemuka agama lain yang minta densus dibubarkan,0
kristen radikal dimusuhi oleh sesama kristen contohnya timothy mcveigh teroris okalauahoma yang dieksekusi mati hindu radikal juga cuma segelintir saat ini bakal dikalahkan oleh partai kongres dimana sikap frontal orang islam seperti kamu terhadap kaum islam radikal yang jelekin agamamu,0
aliran yang sibuk mengatur orang lain aliran yang sibuk mengatur dirinya sendiri yaitu buddhisme,0
kalau gitu kenapa jasad teroris disholatkan dibilang syahid sampai mujahidin kenapa teroris yang tertangkap dibela oleh tim pengacara muslim kenapa Majelis Ulama Indonesia sering sewot tiap kali densus nindak teroris kenapa ulama bukan pemuka agama lain yang minta densus dibubarkan,1
buten itu radikal dia itu dari dulu memusuhi islam,1
tita ini rupanya pembenci islam ya kristen radikal yang jelas kelompok kodok kumpulan orang dungu otak kacung goblokers juga,1
kalau yang mudah dipengaruhi dengan bungkus agama itu sebutannya apa tidak sadar kalau dijadikan alat politik dan alat ambisi kekuasaan disuruh demo dan melawan pemerintahan itu disebut mulia kah,0
kafir kristen pembenci islam ngecap radikal dasar penyuka lobang silit,1
buat apa beragama,1
israel menjajah palestina israel adalah teroris yang sebenarnya hancurkan israel serbu,1
ini buktinya drum jangankan yang beda agama dan keyakinan yang beragama islam pun tidak lepas dari hujatan dan makian ya kamu masih mau ngomong dia ini seorang islam kadrun jelas bukan islam kadrun itu para munafik yang berlindung dibalik kata islam,1
teriak teriak islam intoleran teriak teriak islam radikal teriak teriak islam anti pancasila teriak teriak islam anti kebhinekaan eh giliran duit haji umat islam kamu embat juga hijau itu mata liat duit,1
polisi selalu lelet urusin rakyat polisi cepat mengurus isu islam radikal beking cukong sengketa lahan viral dulu baru kerja,1
percayalah umat islam dicari cari saat pemilu setelah itu dicap radikal dan intoleran no debat,1
sejak kepala wajib ditutupi memang agama musuhnya feminisme untung ada demokrasi yang memberi perempuan hak suara yang sama,0
kalau dalam atheisme membunuh incest maling korupsi memerkosa itu dianggap termasuk perbuatan yang salah tidak kalau salah atas dasar apa,0
kalau yang dimaksud adalah melawan agama agama misoginis yang menganggap perempuan tidak boleh memiliki hak yang sama dengan laki laki yang menganggap bahwa perempuan harus taat pada laki laki sampai konsep konsep patriarkis lainnya maka iya feminis melawan agama agama tersebut,0
lucu sekali kalau sekarang ada pengaNahdlatul Ulama tnya yang anti feminisme padahal dulu nabinya memperjuangkan derajat perempuan yang tidak lain dan tidak bukan adalah sebuah bentuk feminisme radikal di masanya,0
masya allah kafir sudah semestinya menghormati agama dan simbol islam sebagaimana muslim menghormati agama dan simbol kafir salam toleransi rahmatan alamin semoga kita semua mendapat hidayah,0
calon presiden kelompok radikal pengusung khilafah mau lewat mundur mundur mundur awas awas awas negerinya bahkan perempuan sampai didorong ini ada apa sih,1
urusan negara kok nyerang agama ntar dibales teriak kenceng islam radikal ekstrimis blablabla,1
anjing kafir dan syiah sibuk radikal radikal dan mengatur siapa yang boleh cera untuk umat islam padahal milik sendiri bukan islam,1
jika kita  bersatu tak akan ada yang bisa menghalangi tapi babi buzzer itu tugasnya memecah umat,1
yang menyebar kan radikal radikul nya penguasa sales nya ormas islam penjilat bersama antek-antek syiah Partai komunis Indonesia mereka sok paling ngerti tentang islam,1
islam tidak benarkan orang yang hina nabi jangan di bunuh sebenarnya orang yang bunuh keluarga nabi dari kalangan islam radikal,0
persamaan Partai komunis Indonesia dan khilafuck adalah sama sama membenci pemerintah dan merebut kekuasaan perbedaannya Partai komunis Indonesia tidak pernah melakukannya atas nama tuhan tapi ideologi semata sedangkan khilafuck melakukannya atas nama tuhan bahkan provokasi pengikutnya untuk bom bunuh diri itu bukan perintah tuhan,1
komunis khawarij syiah rafidhah atheis sampai ahli bidah itu saudara kandung sama membenci sampai suka memberontak kepada penguasa yang sah jika diberi kekuasaan jahatnya melampaui yahudi sampai nashoro,1
kapan ada upaya golongan khilafah untuk mengkudeta pemerintah,1
persamaan Partai komunis Indonesia dan kristen radikal adalah sama benci islam,1
menentang imperialisme islam mengecam ajaran bunuh murtad dituduh anti nkri ngawur banget jangan mereka anggap tni yang dulu merangin gerombolan di tni sebagai anti nkri juga kalau kemaren pake stigma islamofobia sekarang mereka beralih ke stigma anti nkri dasar tukang pembodohan,1
yang dari dulu mau mengganti sila pertama pancasila itu ya kaum pengusung khilafah sila pertama pancasila mau diganti sila pertama piagam jakarta supaya kalian bisa memaksakan hukum syariat islam diterapkan sebagai hukum negara dan memaksa yang non islam untuk tunduk dan patuh,1
yang memperkosa kepribadian dan budaya bangsa sebenarnya adalah kaum pengusung khilafah karena tarian daerah Nahdlatul Ulama santara musik Nahdlatul Ulama santara adat budaya Nahdlatul Ulama santara diharamkan di syirikkan di musyrikin dibedakan disesatkan dengan dalih bertentangan dengan syariat islam,1
si kafir sang penista agama versi kadrunniesta itu adalah anjing penjaga uang warga dki anjing yang ditakuti para koruptor penikmat Anggaran Pendapatan dan Belanja Daerah (APBD) Daerah Khusus Ibukota yang tidak bisa diajak kompromi untuk membuat kebijakan saat itu tapi bersih transparan profesional,1
anjing menggonggong kafir sewot melulu para anjing keluar semua untuk menggonggong anies karena mereka depresi junjungan nya bokep pranowo belum dapat tiket capres harus nya para anjing menggonggong pada megawati agar mak peot memberi tiket bokep pranowo,1
woy tolol sopan mana kata kafir tertutup non muslim tidak selamatan kalau kalian pilih kalimat non muslim berarti kalian benar-benar goblok,1
kalimat intoleran dihembuskan oleh para buzzer yang dibiayai oleh para cukong untuk merusak kesatuan sampai memecah bangsa dan ini persis kelakuan kafir komunis,1
saya mau tanya apakah nanti setelah kita meninggal terus masuk liang kubur akan ditanya apa organisasimu,0
islamofobia yaitu 1 para anjing sipilis dan komunis pelaku maksiat yang ingin mencari pembenaran atas kelakuannya 2 para nabi kafir pecundang debat teologis secara akademis yang ingin melampiaskan dendam kekalahannya,1
semoga para antek-antek komunis dan para kafir terlaknat hidupnya di dunia ya pasti akhir disiksa,1
indonesia sedang tidak baik baik saja hukum allah dengan bangganya diganti oleh para boneka kafir dengan hukum manusia astaghfirullah,1
menyalahkan agama orang lain boleh menyalahkan agama dia tidak boleh ternyata dia sendiri yang relativisme,1
jika ada orang yang paling menikmati keimanannya tentu dia nabi muhammad saw tapi beliau tak pernah diam dalam membela agama islam apalagi diam menunggu para kafir bangsat runtuh,1
jokowi tamak kekuasaan jokowi tamak kekuasaan manusia jadi jadian oknum rakus penipu ijazah palsu identitas palsu tapi disanjung para kaum kafir munafiqun,1
wahai cupang betina kita kasih tahu ya bahwa merugikan negeri ini adalah mereka yang sebenarnya perusak negeri ini para koruptor sampai para garong duit negara mereka para kafir bukan muslim dan bukan dari arab paham,1
perusak bangsa merugikan negeri ini para koruptor sampai para garong duit negara mereka para kafir bukan muslim dan bukan dari arab paham,1
yesus kristus mengutip 10 hukum taurat musa diantaranya jangan membunuh tetapi menurut para eks muslim ayat paling jahat dalam quran adalah 9111 membunuh kafir dan terbunuh agar bisa masuk jannah islam dikatakan bahwa ayat ini menjadi pedoman utama para jihadi teror,1
taik kau anjing sudah lah jangan kau bawa bawa alquran kalian para kafir sakit hati ya di bilang kafir udah resiko maka nya di suruh pintar malah nyembah bangke berkolor kafer tolol,1
kadang otak udah diganti sama benak memang susah untuk dibilang kalau kau kafir jangan lah kau campuri urusan agama lain,1
kamu beli dan punya motor dibakar orang wajar kamu marah tetapi ada kitab suci agamamu bukan kamu yang beli dibakar orang firman tuhan dalam kitab suci tersebut tetap tidak akan hilang atau hina karena yang terbakar hanya fisik kertasnya itu hanya provokasi agar kamu terprovokasi,0
oh jadi bagi yang mengimani quran kemanusiaan dan hadits berguna di akhirat ya semoga para ustad radikal dan teroris yang selalu dipuja itu mendengar ini akhirat saja tidak bisa dibuktikan mau percaya,1
musuh islam itu adalah para munafik dan kafir harbi,1
cara berpakaian orang mau diatur urus saja urusanmu sendiri lah kalau masalah terjadinya pelecehan seksual atau pemerkosaan tak ada hubungannya dengan cara berpakaian seseorang semua orang bisa jadi korban dan pelaku terlepas apapun pakaiannya,1
pantas orang goblok di negeri ini benci dengan cina otak mereka tak sampai apalagi kyai ustadz ulama yang benci cina kafir otak mereka tidak sampai yang tau nya cuma memperkosa vagina para santriwatinya,1
semua itu sebenarnya hanya soal cuan cukong kafir mana yang mau memberi cuan kalau dipanggil kafir pesantren ormas Partai Politik dan lain lain butuh cuan dari cukong kafir agar cepat besar apalagi untuk kepentingan karir atau bisnis bagi para politikus aparat pengusaha dan sebagainya,1
setuju gus alquran tidak jadi hina karena dibakar sejatinya yang hina itu orang yang tidak beragama islam tapi tidak marah ketika alquran dihina kan tapi anehnya ketika ada orang yang dianggap menghina kyai ormasnya langsung mereka marah tidak karuan padahal lebih mulia mana ormas al quran,0
yang tidak makmur dan menderita itu hanya kaum kadrun goblok yang ikhlas mendedikasikan kegoblokan mereka untuk dimanfaatkan oleh oposisi dan para politisi busuk drum goblok tetap dipertahankan hidupnya menderita karena itulah nilai jualnya yang dapat dimanfaatkan politisi busuk,1
beliau selain pandai ceramah jago menari tanpa iringan musik sebab musik kata beliau haram kata saya halal yang haram babi,1
yang suka demo itu kalau tidak kafir pasti para munafikun,1
bila semua dilarang maka akan banyak para pejuang murtad dan memilih menjadi kafir faktanya negara kafir dan negara atheis lebih makmur dan damai,1
para kafir musuh islam memang sekolam dengan para munafik,1
sekarang memang lagi jamannya umat muslim pamer kegoblokan,1
munafik sudah menjadi bagian dari gaya hidup kaum beriman,1
kumpulan kardun yang numpang hidup di indonesia tapi kelakuannya selalu buat gaduh ribut onar fitnah indonesia saja perlu di usir dari indonesia kardun munafik berjubah agama,1
bantahan para murtadin kafir itu agar mereka mikir otaknya diisi dengan ilmu jangan asal bacotnya asbun tanpa argumentasi yang cerdas islam agama buat orang yang berakal paham,1
kafir goblok ngapain kau buat narasi negatif untuk para ustadz tidak semua ustad kelakuannya begitu kau itu kafir urus saja agamamu tidak usah kau singgung urusan agama orang,1
membunuh bukan perbuatan muslim itu perbuatan orang orang kafir,1
twitter bidah tidak dicontohkan oleh nabi tidak ada dalil dalam alquran dan hadis,1
halah hombreng pamer sixpack doyan tetek cewek juga yang tidak malah menghujat tetek cewek sepong saja terus kontol-kontol kaum nabi luth ,1
kamu call me an idiot for not believing in your religion banyak agama yang menerima lgbt dan kaum nabi luth itu orang jahat dan pemerkosa banyak kok orang gay yang baik baik bahkan beberapa orang lgbt jadi tokoh panutan agama,1
lgbt tak menjahanamkan negara pun tak mengganggu orang,1
anjing ini yang nge hype drama thailand gay dan lesbian tidak pernah belajar sejarah agama islam nabi luth kayaknya kaum sodom yang allah tenggelamkan,0
noh di tweet ku kaum pelangi ngamuk tidak terima kalau mereka menyimpang dan dibilang lgbt itu penyakit cuma karena tidak ada obatnya logika macam apa itu anjir gelo kenapa ada orang yang malah dukung dengan dalih open minded kocak kalau mereka hidup di zaman nabi luth  sudah musnah tuh,0
makanya baca al quran jangan kitab mantra yang kamu baca apa kamu tidak tau kisah kaum nabi luth buka lagi deh al quran agar pengetahuan pemahaman kamu tercerahkan,0
masalah zina sebenarnya yaa dosa mereka sih kalau korelasinya kaya kaum nabi luth beda lagi ya cuma kalau mau zina kenapa mesti di gunung lebih tepatnya tidak punya adab kan sewa oyo lebih murah daripada dalam tenda sakit di tanah,0
kontol kaum nabi luth asu,1
lgbtq asu asu asu jancok dobol jingan tai bangsad apa mau di azab seperti kaum nabi luth asu asu sekali,1
pantas saja benci anis kaum nabi luth itu dilaknat allah dan komunitas tulang lunak itu sakit jiwa bisa kok di obati walau kadang susah menjelaskan kepada komunitas melambai kalau bunga lebih wangi daripada taik,1
doa ke orang yang baik atuh tapi dari zaman nabi luth kaum lgbt memang harus dimusnahkan bahkan buat sekedar pendukung aja kena azab apa yang ngelakuin,0
di nasrani sama yahudi juga ada bang tentang nabi luth kalau mereka masih ga paham kayanya kaum pelangi beneran nyembah kipas angin cosmos dah,0
gay anjing laknatullah semoga kalian diazab kayak kaum sodom lenyap selamanya dari bumi aamiin ya rabbal alamin,1
kaum sodom kayak lo emang cuma kasih jawaban berulang ulang emang kaum sodom itu cuma memiliki kebencian paling tinggi terhadap agama karena hidup mereka tidak mau diatur agama derajat mereka dianggap sampai memang aslinya lebih rendah daripada binatang pun langsung emosi,0
